Distance(fm),Vcoul,Sao Paulo,M3Y,RMF-L1
   8.8999999999999844      ,   5.8235056179775384      ,   5.8234792367672163      ,   5.8234612429633161      ,   5.8234903891165164     
   8.9999999999999840      ,   5.7588000000000106      ,   5.7587803849060872      ,   5.7587658228458789      ,   5.7587886019727508     
   9.0999999999999837      ,   5.6955164835164940      ,   5.6955019083022114      ,   5.6954901575886572      ,   5.6955079517951361     
   9.1999999999999833      ,   5.6336086956521845      ,   5.6335978719216895      ,   5.6335884150358035      ,   5.6336023087809197     
   9.2999999999999829      ,   5.5730322580645266      ,   5.5730242249371331      ,   5.5730166327941859      ,   5.5730274763467529     
   9.3999999999999826      ,   5.5137446808510742      ,   5.5137387222291041      ,   5.5137326409729575      ,   5.5137411005159240     
   9.4999999999999822      ,   5.4557052631579053      ,   5.4557008457449934      ,   5.4556959849516113      ,   5.4557025820948697     
   9.5999999999999819      ,   5.3988750000000101      ,   5.3988717269073083      ,   5.3988678492341373      ,   5.3988729921394096     
   9.6999999999999815      ,   5.3432164948453709      ,   5.3432140708955869      ,   5.3432109831284089      ,   5.3432149910012097     
   9.7999999999999812      ,   5.2886938775510304      ,   5.2886920833524824      ,   5.2886896287510510      ,   5.2886927510946604     
   9.8999999999999808      ,   5.2352727272727373      ,   5.2352713998622491      ,   5.2352694516798870      ,   5.2352718834180276     
   9.9999999999999805      ,   5.1829200000000100      ,   5.1829190184015177      ,   5.1829174744439195      ,   5.1829193677887586     
   10.099999999999980      ,   5.1316039603960499      ,   5.1316032348546461      ,   5.1316020129437385      ,   5.1316034867025095     
   10.199999999999980      ,   5.0812941176470687      ,   5.0812935816088540      ,   5.0812926158245943      ,   5.0812937626924333     
   10.299999999999979      ,   5.0319611650485534      ,   5.0319607691901496      ,   5.0319600067738390      ,   5.0319608990447602     
   10.399999999999979      ,   4.9835769230769333      ,   4.9835766308638387      ,   4.9835760296788250      ,   4.9835767237151867     
   10.499999999999979      ,   4.9361142857142957      ,   4.9361140700987409      ,   4.9361135965571892      ,   4.9361141362855054     
   10.599999999999978      ,   4.8895471698113306      ,   4.8895470107788448      ,   4.8895466381556005      ,   4.8895470577993150     
   10.699999999999978      ,   4.8438504672897293      ,   4.8438503500373926      ,   4.8438500571034613      ,   4.8438503833181636     
   10.799999999999978      ,   4.7990000000000101      ,   4.7989999135845505      ,   4.7989996835031432      ,   4.7989999370440826     
   10.899999999999977      ,   4.7549724770642303      ,   4.7549724133993561      ,   4.7549722328366384      ,   4.7549724298604064     
   10.999999999999977      ,   4.7117454545454649      ,   4.7117454076586327      ,   4.7117452660693129      ,   4.7117454191495334     
