r_fm,Vcoulomb_MeV,H_MeV,U_MeV
  4.22600000E+00,  1.22560183E+01,  5.70618195E-01,  1.16854001E+01
  4.24400000E+00,  1.22069545E+01,  5.70615962E-01,  1.16363386E+01
  4.26200000E+00,  1.21576822E+01,  5.70613721E-01,  1.15870685E+01
  4.28000000E+00,  1.21082013E+01,  5.70611470E-01,  1.15375899E+01
  4.29800000E+00,  1.20585119E+01,  5.70609211E-01,  1.14879027E+01
  4.31600000E+00,  1.20086140E+01,  5.70606943E-01,  1.14380070E+01
  4.33400000E+00,  1.19587448E+01,  5.70604666E-01,  1.13881401E+01
  4.35200000E+00,  1.19092831E+01,  5.70602380E-01,  1.13386807E+01
  4.37000000E+00,  1.18602288E+01,  5.70600085E-01,  1.12896287E+01
  4.38800000E+00,  1.18115770E+01,  5.70597782E-01,  1.12409792E+01
  4.40600000E+00,  1.17633227E+01,  5.70595470E-01,  1.11927273E+01
  4.42400000E+00,  1.17154611E+01,  5.70593149E-01,  1.11448680E+01
  4.44200000E+00,  1.16679874E+01,  5.70590819E-01,  1.10973966E+01
  4.46000000E+00,  1.16208969E+01,  5.70588481E-01,  1.10503084E+01
  4.47800000E+00,  1.15741849E+01,  5.70586134E-01,  1.10035988E+01
  4.49600000E+00,  1.15278470E+01,  5.70583777E-01,  1.09572632E+01
  4.51400000E+00,  1.14818786E+01,  5.70581413E-01,  1.09112972E+01
  4.53200000E+00,  1.14362754E+01,  5.70579039E-01,  1.08656963E+01
  4.55000000E+00,  1.13910330E+01,  5.70576656E-01,  1.08204563E+01
  4.56800000E+00,  1.13461471E+01,  5.70574265E-01,  1.07755728E+01
  4.58600000E+00,  1.13016136E+01,  5.70571865E-01,  1.07310417E+01
  4.60400000E+00,  1.12574283E+01,  5.70569456E-01,  1.06868589E+01
  4.62200000E+00,  1.12135872E+01,  5.70567039E-01,  1.06430202E+01
  4.64000000E+00,  1.11700862E+01,  5.70564612E-01,  1.05995216E+01
  4.65800000E+00,  1.11269214E+01,  5.70562177E-01,  1.05563592E+01
  4.67600000E+00,  1.10840890E+01,  5.70559733E-01,  1.05135292E+01
  4.69400000E+00,  1.10415850E+01,  5.70557280E-01,  1.04710277E+01
  4.71200000E+00,  1.09994058E+01,  5.70554818E-01,  1.04288510E+01
  4.73000000E+00,  1.09575476E+01,  5.70552348E-01,  1.03869952E+01
  4.74800000E+00,  1.09160067E+01,  5.70549869E-01,  1.03454569E+01
  4.76600000E+00,  1.08747797E+01,  5.70547381E-01,  1.03042323E+01
  4.78400000E+00,  1.08338629E+01,  5.70544884E-01,  1.02633180E+01
  4.80200000E+00,  1.07932528E+01,  5.70542378E-01,  1.02227104E+01
  4.82000000E+00,  1.07529461E+01,  5.70539864E-01,  1.01824062E+01
  4.83800000E+00,  1.07129392E+01,  5.70537341E-01,  1.01424019E+01
  4.85600000E+00,  1.06732290E+01,  5.70534809E-01,  1.01026942E+01
  4.87400000E+00,  1.06338121E+01,  5.70532268E-01,  1.00632798E+01
  4.89200000E+00,  1.05946852E+01,  5.70529719E-01,  1.00241555E+01
  4.91000000E+00,  1.05558452E+01,  5.70527160E-01,  9.98531805E+00
  4.92800000E+00,  1.05172890E+01,  5.70524593E-01,  9.94676437E+00
  4.94600000E+00,  1.04790133E+01,  5.70522017E-01,  9.90849133E+00
  4.96400000E+00,  1.04410153E+01,  5.70519432E-01,  9.87049588E+00
  4.98200000E+00,  1.04032919E+01,  5.70516839E-01,  9.83277501E+00
  5.00000000E+00,  1.03658400E+01,  5.70514237E-01,  9.79532576E+00
