r_fm,Vcoulomb_MeV,Vscreen_MeV,Vcoulomb_screened_MeV,Vnuclear_MeV,Vtotal_MeV
  3.77600000E+00,  1.34148393E+01,  1.06542373E+00,  1.23494156E+01, -1.78212849E-02,  1.23315943E+01
  3.79400000E+00,  1.33709889E+01,  1.06084746E+00,  1.23101414E+01, -1.69599743E-02,  1.22931815E+01
  3.81200000E+00,  1.33269300E+01,  1.05627119E+00,  1.22706588E+01, -1.61405600E-02,  1.22545182E+01
  3.83000000E+00,  1.32826625E+01,  1.05169492E+00,  1.22309676E+01, -1.53609903E-02,  1.22156066E+01
  3.84800000E+00,  1.32381865E+01,  1.04711864E+00,  1.21910678E+01, -1.46193148E-02,  1.21764485E+01
  3.86600000E+00,  1.31935019E+01,  1.04254237E+00,  1.21509595E+01, -1.39136789E-02,  1.21370458E+01
  3.88400000E+00,  1.31486088E+01,  1.03796610E+00,  1.21106427E+01, -1.32423198E-02,  1.20974004E+01
  3.90200000E+00,  1.31035072E+01,  1.03338983E+00,  1.20701174E+01, -1.26035612E-02,  1.20575138E+01
  3.92000000E+00,  1.30581970E+01,  1.02881356E+00,  1.20293835E+01, -1.19958095E-02,  1.20173877E+01
  3.93800000E+00,  1.30126783E+01,  1.02423729E+00,  1.19884410E+01, -1.14175496E-02,  1.19770235E+01
  3.95600000E+00,  1.29669511E+01,  1.01966102E+00,  1.19472901E+01, -1.08673406E-02,  1.19364227E+01
  3.97400000E+00,  1.29210153E+01,  1.01508475E+00,  1.19059306E+01, -1.03438129E-02,  1.18955868E+01
  3.99200000E+00,  1.28748710E+01,  1.01050847E+00,  1.18643625E+01, -9.84566388E-03,  1.18545169E+01
  4.01000000E+00,  1.28285182E+01,  1.00593220E+00,  1.18225860E+01, -9.37165524E-03,  1.18132143E+01
  4.02800000E+00,  1.27819568E+01,  1.00135593E+00,  1.17806009E+01, -8.92060932E-03,  1.17716803E+01
  4.04600000E+00,  1.27351869E+01,  9.96779661E-01,  1.17384072E+01, -8.49140639E-03,  1.17299158E+01
  4.06400000E+00,  1.26882085E+01,  9.92203390E-01,  1.16960051E+01, -8.08298166E-03,  1.16879221E+01
  4.08200000E+00,  1.26410215E+01,  9.87627119E-01,  1.16533944E+01, -7.69432263E-03,  1.16457000E+01
  4.10000000E+00,  1.25936260E+01,  9.83050847E-01,  1.16105751E+01, -7.32446644E-03,  1.16032506E+01
  4.11800000E+00,  1.25460219E+01,  9.78474576E-01,  1.15675473E+01, -6.97249750E-03,  1.15605748E+01
  4.13600000E+00,  1.24982093E+01,  9.73898305E-01,  1.15243110E+01, -6.63754507E-03,  1.15176735E+01
